,Time,Sentiment,Price
79,20170826,0.268875078,4356
80,20170825,0.224038839,4320.5
81,20170824,0.160352486,4320
82,20170823,0.184681435,4164
83,20170822,0.352324567,4090.2
84,20170821,0.315149356,3847.4
85,20170820,0.108760357,4002.1
86,20170819,0.273836424,4098
87,20170818,0.228750407,4045.4
88,20170817,0.297968785,4269.8
89,20170816,0.152765307,4319
90,20170815,0.150910893,4061.3
91,20170814,0.303740679,4220
92,20170813,0.37456593,4074.9
93,20170812,0.341407462,4094.5
94,20170811,0.375832975,3761.8
95,20170810,0.243127878,3473.2
96,20170809,0.162660696,3362
97,20170808,0.375126183,3402.5
98,20170807,0.362041919,3402.9
99,20170806,0.423222279,3222.5
100,20170805,0.033709415,3207.4
101,20170804,0.295941936,3112
102,20170803,0.43510437,2779.5
103,20170802,0.50450774,2711.6
104,20170801,0.385793804,2732
105,20170731,0.205388877,2863
106,20170730,0.205388877,2722.1
107,20170729,0.219951542,2741
108,20170728,0.254079293,2740.9
109,20170727,0.2800076,2682.1
110,20170726,0.299795337,2560
111,20170725,0.114957342,2451
112,20170724,0.500274664,2763.6
113,20170723,0.431082524,2741
114,20170722,0.277709051,2788
115,20170721,0.485496858,2752.1
116,20170720,0.337676974,2759.7
117,20170719,0.258774867,2319.1
118,20170718,0.392377102,2348.3
119,20170717,0.46852221,2238.4
120,20170716,0.336052245,2028.4
121,20170715,0.125973949,1984.8
122,20170714,0.454236794,2106.1
123,20170713,0.154062352,2337.5
124,20170712,0.290948354,2384
125,20170711,0.388623848,2312.5
126,20170710,0.510614341,2343.4
127,20170709,0.510614341,2513.8
128,20170708,0.215028464,2555.5
129,20170707,0.415304437,2498.6
130,20170706,0.348092764,2577
131,20170705,0.186944848,2618.2
132,20170704,0.09310501,2562.7
133,20170703,0.066966531,2627
134,20170702,0.188823173,2499.9
135,20170701,0.290591225,2415.2
136,20170630,0.268334072,2491.9
137,20170629,0.270334336,2515.7
138,20170628,0.117238175,2564.8
139,20170627,0.176651507,2487.2
140,20170626,0.27715151,2400.9
141,20170625,0.216857497,2475.1
142,20170624,0.318503316,2535.8
143,20170623,0.300210872,2706.9
144,20170622,0.306327845,2712.1
145,20170621,0.189456017,2560
146,20170620,0.155408243,2696.8
147,20170619,0.354931375,2624.4
148,20170618,0.377452985,2574
149,20170617,0.167752992,2660
150,20170616,0.167752992,2466.7
151,20170615,0.247296762,2455.7
152,20170614,0.148552489,2362.9
153,20170613,-0.040371923,2800
154,20170612,0.263589272,2749.9
155,20170611,0.383374189,2978.9
156,20170610,0.383941441,2909.5
157,20170609,0.102664606,2814.1
158,20170608,0.177880223,2727.7
159,20170607,0.377267423,2712
160,20170606,0.176406039,2818.7
161,20170605,0.308088086,2845.8
162,20170604,0.228739501,2584.9
163,20170603,0.319599514,2518.4
164,20170602,0.2410132,2458.2
165,20170601,0.170124114,2434.9
166,20170531,0.070145991,2377.9
167,20170530,0.212086495,2188
168,20170529,0.212086495,2287
169,20170528,0.249703883,2226.9
170,20170527,0.212380234,2219.9
171,20170526,0.458672559,2126.7
172,20170525,0.349657849,2434.3
173,20170524,0.265756428,2675
174,20170523,0.404076813,2312.1
175,20170522,0.170565253,2166.9
176,20170521,0.347733377,2173.3
177,20170520,0.387195614,2073.4
178,20170519,0.271372166,1993
179,20170518,0.168023331,1924.9
180,20170517,0.340809175,1804
181,20170516,0.096154152,1829
182,20170515,0.31667741,1744.1
183,20170514,0.31667741,1774.9
184,20170513,0.196398057,1799.8
185,20170512,0.448940533,1699.9
186,20170511,0.357136545,1787.9
187,20170510,0.093002751,1838.5
188,20170509,0.462259716,1727.9
189,20170508,0.485185852,1706
190,20170507,0.267107189,1620.7
191,20170506,0.330187409,1599.4
192,20170505,0.423920344,1586.9
193,20170504,0.197179282,1620
194,20170503,0.304359304,1560.2
195,20170502,0.258361728,1469
196,20170501,0.154828907,1460
197,20170430,0.129907446,1374.7
198,20170429,0.228008521,1349.8
199,20170428,0.248828882,1350.1
200,20170427,0.116374094,1358.6
201,20170426,0.216433552,1318.1
202,20170425,0.23901394,1290.3
203,20170424,0.319911964,1267
204,20170423,0.383295998,1254.2
205,20170422,0.475662216,1250
206,20170421,0.33268702,1249.9
207,20170420,0.113556894,1248.9
208,20170419,0.088506224,1219
209,20170418,0.310399194,1196.4
210,20170417,0.320153548,1193
211,20170416,0.266832051,1171.8
212,20170415,0.314684691,1188.7
213,20170414,0.187760663,1180.6
214,20170413,0.38612445,1178.9
215,20170412,0.324558842,1211.7
216,20170411,0.270640484,1228.4
217,20170410,0.052087763,1203.6
218,20170409,0.140813914,1209.5
219,20170408,0.018005443,1186.2
220,20170407,0.101974644,1189.5
221,20170406,0.210700691,1185.4
222,20170405,0.316897669,1160.8
223,20170404,0.313041526,1144
224,20170403,0.293719695,1155.3
225,20170402,0.20201685,1153.6
226,20170401,0.34779146,1089.9
227,20170331,0.193317162,1088.5
228,20170330,0.128002386,1049.7
229,20170329,0.20834957,1045.6
230,20170328,0.08202415,1015.3
231,20170327,0.191218913,1039
232,20170326,0.337757717,972.3
233,20170325,0.166542257,967.8
